date,description,amount,currency,type
2024-12-18,IKEA,-22.15,USD,debit
2024-12-19,Proton Mail Subscription,-4.58,USD,debit
2024-12-19,Tax Refund,-287.42,USD,debit
2024-12-19,Target,-266.92,USD,debit
2024-12-19,Toy Shop REFUND,135.99,USD,credit
2024-12-19,Calm Subscription,-6.61,USD,debit
2024-12-20,Grocery Store,-7.35,USD,debit
2024-12-20,OneDrive Subscription,-8.12,USD,debit
2024-12-20,Hotel Booking,-7.56,USD,debit
2024-12-20,Home Improvement REFUND,89.59,USD,credit
2024-12-21,Apple Store,-330.12,USD,debit
2024-12-21,Thrift Store REFUND,38.46,USD,credit
2024-12-21,Electric Bill,-77.82,USD,debit
2024-12-21,GitHub Subscription,-5.43,USD,debit
2024-12-21,Microsoft 365 Subscription,-6.97,USD,debit
2024-12-22,Government Fees,-263.77,USD,debit
2024-12-22,Brilliant Subscription,-13.25,USD,debit
2024-12-22,Credit Card Payment,-283.84,USD,debit
2024-12-23,Uber Trip,-83.65,USD,debit
2024-12-23,Best Buy REFUND,120.2,USD,credit
2024-12-25,YouTube Music Subscription,-10.3,USD,debit
2024-12-25,Lyft Ride,-267.72,USD,debit
2024-12-25,Hotel Booking REFUND,56.4,USD,credit
2024-12-25,Convenience Store,-120.92,USD,debit
2024-12-26,Amazon Refund REFUND,119.44,USD,credit
2024-12-26,Pharmacy Express,-256.58,USD,debit
2024-12-27,Hotel Booking,-283.22,USD,debit
2024-12-27,Gym Day Pass,-128.13,USD,debit
2024-12-30,Best Buy,-20.41,USD,debit
2024-12-30,Government Fees,-284.6,USD,debit
2024-12-31,Internet Payment,-277.73,USD,debit
2024-12-31,Internet Payment,-277.73,USD,debit
2024-12-31,Dashlane Subscription,-2.39,USD,debit
2025-01-01,Amazon Marketplace,-76.96,USD,debit
2025-01-02,Hotel Booking,-171.17,USD,debit
2025-01-02,Apple Store,-63.85,USD,debit
2025-01-02,Electric Bill,-287.74,USD,debit
2025-01-03,Tax Refund,-161.38,USD,debit
2025-01-03,Target,-86.58,USD,debit
2025-01-04,GitLab Subscription,-6.33,USD,debit
2025-01-04,Peacock Subscription,-5.35,USD,debit
2025-01-04,Electronics Hub REFUND,20.71,USD,credit
2025-01-04,Bakery,-159.89,USD,debit
2025-01-05,McDonald's REFUND,81.99,USD,credit
2025-01-05,Chevron Gas,-272.99,USD,debit
2025-01-06,Starbucks REFUND,40.63,USD,credit
2025-01-06,Chevron Gas,-280.51,USD,debit
2025-01-06,Electronics Hub,-33.72,USD,debit
2025-01-07,Grammarly Subscription,-31.07,USD,debit
2025-01-07,Hulu Subscription,-11.66,USD,debit
2025-01-07,Liquor Store,-22.54,USD,debit
2025-01-07,Liquor Store,-22.54,USD,debit
2025-01-07,Dental Clinic REFUND,41.17,USD,credit
2025-01-08,Water Bill,-275.75,USD,debit
2025-01-09,Burger King,-70.91,USD,debit
2025-01-10,Lyft Ride,-214.05,USD,debit
2025-01-10,Convenience Store,-21.39,USD,debit
2025-01-10,Surfshark Subscription,-5.24,USD,debit
2025-01-12,Spotify Refund,-100.2,USD,debit
2025-01-12,Grocery Store,-247.53,USD,debit
2025-01-12,Butcher Shop,-30.81,USD,debit
2025-01-12,Uber One Subscription,-10.79,USD,debit
2025-01-12,Coursera Plus Subscription,-40.28,USD,debit
2025-01-13,Amazon Marketplace,-305.51,USD,debit
2025-01-13,ATM Withdrawal,-6.19,USD,debit
2025-01-14,Venmo Payment,-266.3,USD,debit
2025-01-14,Credit Card Payment,-325.25,USD,debit
2025-01-14,Netflix Subscription,-16.45,USD,debit
2025-01-15,LinkedIn Learning Subscription,-29.29,USD,debit
2025-01-15,Local Diner,-338.24,USD,debit
2025-01-15,Internet Payment,-220.89,USD,debit
2025-01-15,Electric Bill,-233.46,USD,debit
2025-01-16,Proton VPN Subscription,-4.42,USD,debit
2025-01-16,Brilliant Subscription,-13.24,USD,debit
2025-01-16,Dental Clinic,-230.36,USD,debit
2025-01-16,Butcher Shop,-183.55,USD,debit
2025-01-16,Shell Gas Station,-347.78,USD,debit
2025-01-17,Chevron Gas,-157.14,USD,debit
2025-01-17,Movie Tickets,-63.85,USD,debit
2025-01-17,Calm Subscription,-7.08,USD,debit
2025-01-18,Chevron Gas,-134.09,USD,debit
2025-01-18,GitHub Subscription,-4.0,USD,debit
2025-01-19,Lyft Ride,-212.09,USD,debit
2025-01-19,Lyft Ride,-208.74,USD,debit
2025-01-20,Electronics Hub,-227.84,USD,debit
2025-01-21,Subway,-115.53,USD,debit
2025-01-21,Medical Center,-61.25,USD,debit
2025-01-22,Microsoft 365 Subscription,-7.99,USD,debit
2025-01-22,OneDrive Subscription,-8.0,USD,debit
2025-01-22,Strava Subscription,-7.32,USD,debit
2025-01-23,Fish Market,-143.72,USD,debit
2025-01-23,Proton Mail Subscription,-4.55,USD,debit
2025-01-23,Insurance Premium REFUND,88.45,USD,credit
2025-01-24,Burger King,-166.3,USD,debit
2025-01-24,Burger King,-90.3,USD,debit
2025-01-25,YouTube Music Subscription,-11.21,USD,debit
2025-01-26,Medical Center,-30.86,USD,debit
2025-01-28,Garden Center,-147.68,USD,debit
2025-01-29,Dashlane Subscription,-3.19,USD,debit
2025-01-30,Butcher Shop,-238.02,USD,debit
2025-01-30,Water Bill,-229.4,USD,debit
2025-01-30,Gym Day Pass,-219.47,USD,debit
2025-01-31,Parking Fine,-229.88,USD,debit
2025-02-01,Chevron Gas REFUND,37.75,USD,credit
2025-02-01,Spotify Refund,-36.27,USD,debit
2025-02-01,Chevron Gas,-149.02,USD,debit
2025-02-01,Chevron Gas REFUND,37.75,USD,credit
2025-02-02,GitLab Subscription,-3.68,USD,debit
2025-02-03,Charity Donation,-119.37,USD,debit
2025-02-03,Book Store,-121.73,USD,debit
2025-02-03,Liquor Store,-252.14,USD,debit
2025-02-03,Grammarly Subscription,-29.31,USD,debit
2025-02-06,Peacock Subscription,-6.18,USD,debit
2025-02-06,Hulu Subscription,-11.45,USD,debit
2025-02-06,Coursera Plus Subscription,-41.04,USD,debit
2025-02-06,Amazon Marketplace,-156.62,USD,debit
2025-02-07,Book Store,-226.32,USD,debit
2025-02-07,Subway REFUND,17.26,USD,credit
2025-02-07,Shell Gas Station,-20.95,USD,debit
2025-02-08,Butcher Shop REFUND,7.78,USD,credit
2025-02-08,Tax Refund,-138.15,USD,debit
2025-02-10,Uber One Subscription,-10.48,USD,debit
2025-02-11,Chevron Gas,-179.1,USD,debit
2025-02-11,PayPal Transfer,-167.39,USD,debit
2025-02-11,Surfshark Subscription,-4.21,USD,debit
2025-02-12,IKEA REFUND,46.32,USD,credit
2025-02-13,Proton VPN Subscription,-5.11,USD,debit
2025-02-14,Lottery,-271.7,USD,debit
2025-02-14,Hardware Depot,-16.33,USD,debit
2025-02-15,Gym Day Pass,-46.38,USD,debit
2025-02-15,GitHub Subscription,-5.12,USD,debit
2025-02-15,Netflix Subscription,-16.18,USD,debit
2025-02-16,Gas Station,-160.13,USD,debit
2025-02-17,LinkedIn Learning Subscription,-29.55,USD,debit
2025-02-17,Venmo Payment,-299.85,USD,debit
2025-02-19,OneDrive Subscription,-7.43,USD,debit
2025-02-19,Cinema City,-217.13,USD,debit
2025-02-19,Dental Clinic,-271.71,USD,debit
2025-02-19,Movie Tickets,-340.65,USD,debit
2025-02-20,YouTube Music Subscription,-12.75,USD,debit
2025-02-20,Calm Subscription,-7.14,USD,debit
2025-02-20,Microsoft 365 Subscription,-7.86,USD,debit
2025-02-20,Domino's Pizza,-138.29,USD,debit
2025-02-20,Brilliant Subscription,-12.24,USD,debit
2025-02-20,Local Diner REFUND,90.31,USD,credit
2025-02-20,Strava Subscription,-8.32,USD,debit
2025-02-21,Proton Mail Subscription,-4.86,USD,debit
2025-02-21,Grocery Store,-100.93,USD,debit
2025-02-21,Convenience Store,-168.93,USD,debit
2025-02-22,Apple Store,-338.26,USD,debit
2025-02-22,Flight Ticket,-281.73,USD,debit
2025-02-22,Internet Payment,-60.19,USD,debit
2025-02-23,Target,-212.76,USD,debit
2025-02-24,Pharmacy Express,-158.74,USD,debit
2025-02-24,Pet Store,-131.78,USD,debit
2025-02-24,Car Wash,-311.21,USD,debit
2025-02-25,Pet Store,-107.22,USD,debit
2025-02-26,Gas Station,-264.27,USD,debit
2025-02-26,Hardware Depot,-97.76,USD,debit
2025-02-27,Walmart,-47.46,USD,debit
2025-02-28,Dashlane Subscription,-3.99,USD,debit
2025-03-02,IKEA,-170.67,USD,debit
2025-03-02,Cinema City,-108.25,USD,debit
2025-03-02,Bakery,-75.49,USD,debit
2025-03-03,Grammarly Subscription,-29.31,USD,debit
2025-03-03,Chevron Gas,-100.88,USD,debit
2025-03-04,Movie Tickets,-206.01,USD,debit
2025-03-04,Peacock Subscription,-5.96,USD,debit
2025-03-05,Chevron Gas,-199.11,USD,debit
2025-03-05,Book Store,-180.93,USD,debit
2025-03-06,Bakery,-65.86,USD,debit
2025-03-06,Thrift Store REFUND,32.14,USD,credit
2025-03-07,GitLab Subscription,-4.23,USD,debit
2025-03-07,Target,-92.22,USD,debit
2025-03-07,Water Bill,-93.28,USD,debit
2025-03-08,Electric Bill,-330.85,USD,debit
2025-03-08,Subway,-205.21,USD,debit
2025-03-10,Government Fees REFUND,66.7,USD,credit
2025-03-10,Best Buy,-275.9,USD,debit
2025-03-10,Dental Clinic,-231.93,USD,debit
2025-03-11,Train Ticket,-208.68,USD,debit
2025-03-11,Butcher Shop,-274.99,USD,debit
2025-03-12,KFC,-205.83,USD,debit
2025-03-12,Coursera Plus Subscription,-40.42,USD,debit
2025-03-12,Hulu Subscription,-16.48,USD,debit
2025-03-13,Medical Center,-78.79,USD,debit
2025-03-13,Lyft Ride,-273.79,USD,debit
2025-03-13,Charity Donation,-101.66,USD,debit
2025-03-14,Surfshark Subscription,-5.07,USD,debit
2025-03-14,Uber One Subscription,-9.75,USD,debit
2025-03-14,Netflix Subscription,-16.2,USD,debit
2025-03-15,Garden Center,-258.27,USD,debit
2025-03-16,Burger King,-125.29,USD,debit
2025-03-16,Brilliant Subscription,-13.08,USD,debit
2025-03-16,Lottery,-106.63,USD,debit
2025-03-17,Subway,-226.94,USD,debit
2025-03-17,Proton VPN Subscription,-6.01,USD,debit
2025-03-19,Butcher Shop,-322.16,USD,debit
2025-03-19,Hotel Booking,-225.74,USD,debit
2025-03-19,GitHub Subscription,-3.42,USD,debit
2025-03-20,Shoe Outlet REFUND,90.46,USD,credit
2025-03-21,LinkedIn Learning Subscription,-29.35,USD,debit
2025-03-21,Pharmacy Express,-159.26,USD,debit
2025-03-21,Grocery Store,-120.7,USD,debit
2025-03-21,Shoe Outlet,-186.93,USD,debit
2025-03-22,Strava Subscription,-8.95,USD,debit
2025-03-22,Liquor Store,-330.29,USD,debit
2025-03-23,YouTube Music Subscription,-12.17,USD,debit
2025-03-23,Calm Subscription,-6.46,USD,debit
2025-03-23,Grocery Store,-117.75,USD,debit
2025-03-23,OneDrive Subscription,-7.56,USD,debit
2025-03-23,Proton Mail Subscription,-8.22,USD,debit
2025-03-24,Shell Gas Station,-274.5,USD,debit
2025-03-24,Shell Gas Station,-274.5,USD,debit
2025-03-24,Electric Bill,-328.79,USD,debit
2025-03-24,Shoe Outlet,-48.78,USD,debit
2025-03-25,ATM Withdrawal,-176.79,USD,debit
2025-03-26,Venmo Payment REFUND,100.6,USD,credit
2025-03-27,Book Store,-97.43,USD,debit
2025-03-27,Microsoft 365 Subscription,-6.75,USD,debit
2025-03-27,Credit Card Payment,-342.46,USD,debit
2025-03-29,Subway,-344.54,USD,debit
2025-03-31,Spotify Refund,-210.95,USD,debit
2025-03-31,Toy Shop,-325.79,USD,debit
2025-04-01,Lyft Ride,-292.25,USD,debit
2025-04-01,Chevron Gas,-60.2,USD,debit
2025-04-01,Best Buy,-112.22,USD,debit
2025-04-02,Grocery Store,-265.9,USD,debit
2025-04-03,PayPal Transfer,-152.19,USD,debit
2025-04-03,Walmart,-274.31,USD,debit
2025-04-03,Mobile Recharge,-186.35,USD,debit
2025-04-04,Lyft Ride,-65.0,USD,debit
2025-04-04,Venmo Payment,-301.82,USD,debit
2025-04-04,Convenience Store,-201.72,USD,debit
2025-04-05,Dashlane Subscription,-3.27,USD,debit
2025-04-05,Pet Store,-98.57,USD,debit
2025-04-05,Credit Card Payment,-240.13,USD,debit
2025-04-06,GitLab Subscription,-4.45,USD,debit
2025-04-06,Grammarly Subscription,-29.82,USD,debit
2025-04-08,Uber One Subscription,-9.65,USD,debit
2025-04-08,Coursera Plus Subscription,-39.78,USD,debit
2025-04-08,Pharmacy Express,-287.47,USD,debit
2025-04-08,Spotify Refund,-114.71,USD,debit
2025-04-09,Electric Bill,-273.56,USD,debit
2025-04-09,Spotify Refund,-239.82,USD,debit
2025-04-09,Peacock Subscription,-6.85,USD,debit
2025-04-10,IKEA,-273.35,USD,debit
2025-04-10,Local Diner,-133.99,USD,debit
2025-04-10,Hulu Subscription,-15.87,USD,debit
2025-04-10,Chevron Gas,-235.99,USD,debit
2025-04-11,Dental Clinic,-13.5,USD,debit
2025-04-11,Dental Clinic,-243.35,USD,debit
2025-04-11,Credit Card Payment,-5.78,USD,debit
2025-04-11,Surfshark Subscription,-4.92,USD,debit
2025-04-12,Water Bill,-294.58,USD,debit
2025-04-12,McDonald's,-183.23,USD,debit
2025-04-12,Amazon Refund,-174.99,USD,debit
2025-04-13,Netflix Subscription,-15.45,USD,debit
2025-04-14,ATM Withdrawal,-169.44,USD,debit
2025-04-14,Proton VPN Subscription,-5.65,USD,debit
2025-04-14,Burger King,-235.8,USD,debit
2025-04-14,Shell Gas Station,-111.3,USD,debit
2025-04-15,Credit Card Payment,-8.51,USD,debit
2025-04-15,Hardware Depot,-109.87,USD,debit
2025-04-16,McDonald's,-314.58,USD,debit
2025-04-16,Amazon Refund REFUND,118.89,USD,credit
2025-04-16,McDonald's,-234.16,USD,debit
2025-04-17,OneDrive Subscription,-8.07,USD,debit
2025-04-17,Strava Subscription,-8.7,USD,debit
2025-04-18,Convenience Store,-7.54,USD,debit
2025-04-19,Grocery Store,-24.86,USD,debit
2025-04-19,Charity Donation,-109.03,USD,debit
2025-04-19,Local Diner,-81.03,USD,debit
2025-04-20,Toy Shop,-328.02,USD,debit
2025-04-20,YouTube Music Subscription,-11.03,USD,debit
2025-04-20,GitHub Subscription,-3.43,USD,debit
2025-04-20,Brilliant Subscription,-13.6,USD,debit
2025-04-21,Subway,-213.86,USD,debit
2025-04-21,Shell Gas Station,-222.92,USD,debit
2025-04-21,Hotel Booking,-59.69,USD,debit
2025-04-21,Microsoft 365 Subscription,-6.44,USD,debit
2025-04-21,LinkedIn Learning Subscription,-31.15,USD,debit
2025-04-22,Calm Subscription,-7.06,USD,debit
2025-04-22,Fish Market,-143.87,USD,debit
2025-04-22,McDonald's,-345.3,USD,debit
2025-04-22,Proton Mail Subscription,-7.04,USD,debit
2025-04-26,Thrift Store,-327.31,USD,debit
2025-04-26,Hardware Depot,-251.04,USD,debit
2025-04-26,Garden Center,-257.03,USD,debit
2025-04-27,Water Bill,-142.64,USD,debit
2025-04-27,Car Wash,-279.19,USD,debit
2025-04-27,McDonald's,-193.04,USD,debit
2025-04-28,Flight Ticket,-284.19,USD,debit
2025-04-28,Fish Market,-51.4,USD,debit
2025-04-29,Liquor Store REFUND,129.41,USD,credit
2025-04-29,Convenience Store,-236.35,USD,debit
2025-04-29,Charity Donation,-280.0,USD,debit
2025-04-30,Liquor Store,-331.71,USD,debit
2025-04-30,GitLab Subscription,-3.5,USD,debit
2025-04-30,Shoe Outlet,-221.13,USD,debit
2025-05-01,Car Wash,-348.24,USD,debit
2025-05-01,Grocery Store,-241.73,USD,debit
2025-05-02,Starbucks,-168.99,USD,debit
2025-05-02,Grammarly Subscription,-30.73,USD,debit
2025-05-03,Credit Card Payment REFUND,51.19,USD,credit
2025-05-03,Thrift Store,-95.69,USD,debit
2025-05-03,Mobile Recharge,-21.3,USD,debit
2025-05-04,Electronics Hub,-312.65,USD,debit
2025-05-04,Bakery REFUND,103.17,USD,credit
2025-05-05,Toy Shop,-161.54,USD,debit
2025-05-05,Electronics Hub,-127.08,USD,debit
2025-05-05,Dashlane Subscription,-2.48,USD,debit
2025-05-06,Coursera Plus Subscription,-39.91,USD,debit
2025-05-07,Hotel Booking,-182.33,USD,debit
2025-05-07,Train Ticket,-323.13,USD,debit
2025-05-08,Peacock Subscription,-5.75,USD,debit
2025-05-08,Cinema City,-201.36,USD,debit
2025-05-08,Charity Donation,-5.42,USD,debit
2025-05-08,Amazon Refund,-318.67,USD,debit
2025-05-08,Amazon Refund,-318.67,USD,debit
2025-05-09,IKEA,-258.8,USD,debit
2025-05-09,Spotify Refund,-270.4,USD,debit
2025-05-09,Hulu Subscription,-16.06,USD,debit
2025-05-09,Fish Market,-24.11,USD,debit
2025-05-11,Gas Station,-104.27,USD,debit
2025-05-11,IKEA,-37.04,USD,debit
2025-05-11,Mobile Recharge,-239.74,USD,debit
2025-05-12,Credit Card Payment REFUND,88.57,USD,credit
2025-05-12,Electronics Hub,-141.19,USD,debit
2025-05-13,Burger King,-34.97,USD,debit
2025-05-13,KFC,-348.3,USD,debit
2025-05-13,Uber One Subscription,-10.84,USD,debit
2025-05-13,Electronics Hub,-149.81,USD,debit
2025-05-14,Surfshark Subscription,-6.52,USD,debit
2025-05-14,Shoe Outlet,-205.75,USD,debit
2025-05-15,Proton VPN Subscription,-5.83,USD,debit
2025-05-15,Spotify Refund,-147.44,USD,debit
2025-05-15,Movie Tickets,-92.78,USD,debit
2025-05-15,Credit Card Payment,-203.93,USD,debit
2025-05-16,Convenience Store,-265.78,USD,debit
2025-05-16,Mobile Recharge,-219.1,USD,debit
2025-05-16,PayPal Transfer,-24.12,USD,debit
2025-05-16,LinkedIn Learning Subscription,-31.08,USD,debit
2025-05-16,Netflix Subscription,-14.52,USD,debit
2025-05-17,Apple Store,-325.27,USD,debit
2025-05-17,Mobile Recharge,-45.63,USD,debit
2025-05-17,Burger King,-348.1,USD,debit
2025-05-18,OneDrive Subscription,-6.58,USD,debit
2025-05-18,Strava Subscription,-8.57,USD,debit
2025-05-18,Local Diner,-233.53,USD,debit
2025-05-18,Toy Shop,-36.23,USD,debit
2025-05-19,Charity Donation,-347.46,USD,debit
2025-05-21,Calm Subscription,-9.28,USD,debit
2025-05-21,GitHub Subscription,-3.54,USD,debit
2025-05-21,Brilliant Subscription,-12.6,USD,debit
2025-05-21,Electronics Hub,-293.19,USD,debit
2025-05-22,McDonald's,-204.68,USD,debit
2025-05-22,Electric Bill,-312.87,USD,debit
2025-05-22,McDonald's,-113.34,USD,debit
2025-05-22,YouTube Music Subscription,-11.39,USD,debit
2025-05-22,Microsoft 365 Subscription,-6.69,USD,debit
2025-05-23,Venmo Payment,-225.09,USD,debit
2025-05-23,Proton Mail Subscription,-7.34,USD,debit
2025-05-23,Amazon Refund,-62.09,USD,debit
2025-05-24,PayPal Transfer,-289.12,USD,debit
2025-05-24,Internet Payment,-266.0,USD,debit
2025-05-24,Burger King,-90.55,USD,debit
2025-05-25,Local Diner,-81.92,USD,debit
2025-05-25,Gas Station,-7.75,USD,debit
2025-05-25,Domino's Pizza,-33.47,USD,debit
2025-05-26,Lottery,-291.88,USD,debit
2025-05-27,Credit Card Payment,-146.11,USD,debit
2025-05-27,Liquor Store,-71.43,USD,debit
2025-05-28,Venmo Payment,-86.57,USD,debit
2025-05-28,Dental Clinic,-284.23,USD,debit
2025-05-29,Fish Market REFUND,37.92,USD,credit
2025-05-29,Liquor Store,-274.03,USD,debit
2025-05-29,Insurance Premium,-291.88,USD,debit
2025-05-30,Hardware Depot,-236.0,USD,debit
2025-05-30,Chevron Gas,-306.7,USD,debit
2025-05-30,Shell Gas Station REFUND,119.2,USD,credit
2025-06-02,Dashlane Subscription,-4.05,USD,debit
2025-06-02,Mobile Recharge,-76.2,USD,debit
2025-06-02,Walmart,-188.24,USD,debit
2025-06-03,Shoe Outlet,-239.13,USD,debit
